,City,Municipality ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latitude,Longitude
326,Wayne,2122,300,300,300,300,300,300,400,400,400,400,400,400,400,400,40.943608,-74.25004
327,Wenonah,2122,500,500,500,400,500,400,500,400,400,500,400,500,500,400,39.799347,-75.15202
330,West Long Branch,2122,200,200,300,300,300,300,300,300,300,400,400,400,400,400,40.289985,-74.01671
331,West Milford,2122,400,400,400,400,400,400,400,400,400,400,400,400,400,500,41.102569,-74.37047
332,West New York,2122,200,200,200,200,200,200,300,300,300,300,300,300,400,300,40.7895,-74.01223
333,West Orange,2122,200,300,300,300,300,300,300,400,400,300,300,300,300,300,40.78865,-74.25541
336,Westfield,2122,400,400,400,500,500,500,500,500,500,500,500,500,500,500,40.649202,-74.34567
337,Westville,2122,200,200,100,0,100,0,0,0,100,100,300,300,100,300,39.861413,-75.13284
338,Westwood,2122,400,400,400,500,500,500,500,500,500,500,500,500,500,500,40.99904,-74.03291
339,Wharton,2122,400,400,400,300,400,300,300,400,400,400,400,400,500,500,40.913298,-74.58246
341,Wildwood,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.987556,-74.822
342,Wood Ridge,2123,500,500,400,500,500,400,400,500,500,500,500,500,500,500,40.847638,-74.08754
343,Woodbine,2123,500,500,500,500,500,500,500,500,500,500,500,500,500,500,39.275059,-74.80041
344,Woodbridge,2123,200,200,200,200,300,300,300,300,300,400,400,400,400,400,40.557104,-74.28316
345,Woodbury,2123,0,0,0,0,0,0,100,0,0,0,0,100,0,0,39.830313,-75.13221
346,Woodbury Heights,2123,200,200,300,100,200,200,200,200,300,300,300,300,300,400,39.816063,-75.15321
347,Woodcliff Lake,2123,500,500,500,500,500,500,500,500,400,500,500,500,500,500,41.025101,-74.059762
350,Woodstown,2123,400,400,200,300,400,400,300,400,300,300,300,400,400,400,39.637838,-75.32396
351,Wyckoff,2123,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.998583,-74.1671
