Rank (of 400),School,Type,Grades,Address,City,Zip,Latitude,Longitude,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
193,Burlington City High School,Public,12-Jul,100 Blue Devil WAy,Burlington,8016,40.06834,-74.84463,(n/a),No,Yes,(609) 387-5800,
194,Essex County Newark Technical,Public,12-Sep,91 West Market Street,Newark,7103,40.736101,-74.22509,(n/a),No,Yes,(973) 412-2204,
195,Henry P. Becton Regional High School,Public,12-Sep,120 Paterson Avenue,East Rutherford,7073,40.830158,-74.09707,(n/a),No,Yes,(201) 935-3007,
196,Wood-Ridge Junior/Senior High School,Public,12-Jul,258 Hackensack St,Wood Ridge,7075,40.847638,-74.08754,(n/a),No,Yes,(201) 933-6777,
197,Dr. Charles E. Brimm Medical Arts High School,Public,12-Sep,1626 Copewood Street,Camden,8103,39.80237,-74.938259,(n/a),No,Yes,(856) 966-2500,
198,Cicely L. Tyson Community Middle/High School,Public,12-Jun,35 Winans Street,East Orange,7017,40.770933,-74.20589,(n/a),No,Yes,(973) 414-8600,
199,Hanover Park High School,Public,12-Sep,63 Mt Pleasant Avenue,East Hanover,7936,40.820012,-74.36474,(n/a),No,No,(973) 887-0300,
200,South Brunswick High School,Public,12-Sep,750 Ridge Road,Monmouth Junction,8852,40.389428,-74.54329,(n/a),No,No,(732) 329-4044,
201,Egg Harbor Township High School,Public,12-Sep,24 High School Drive,Egg Harbor Township,8234,39.398172,-74.59667,(n/a),No,No,(609) 653-0100,
202,Delsea Regional High School,Public,12-Sep,242 Fries Mill Rd,Franklinville,8322,39.618222,-75.0618,(n/a),No,Yes,(856) 694-0100,
203,Wayne Valley High School,Public,12-Sep,551 Valley Road,Wayne,7470,40.943608,-74.25004,(n/a),No,Yes,(973) 317-2200,
204,Dover High School,Public,12-Sep,100 Grace Street,Dover,7801,40.889166,-74.55462,(n/a),No,Yes,(973) 989-2010,
205,Roxbury High School,Public,12-Sep,One Bryant Drive,Succasunna,7876,40.855549,-74.65251,(n/a),No,No,(973) 584-1200,
206,Arts High School,Public,12-Jul,550 M L King Blvd,Newark,7102,40.736101,-74.22509,(n/a),No,Yes,(973) 733-7391,
207,Essex County Donald M. Payne Senior School of Technology,Public,12-Sep,498-544 West Market St,Newark,7107,40.736101,-74.22509,(n/a),No,Yes,(973) 412-2203,
208,Hopatcong High School,Public,12-Sep,2A Windsor Ave,Hopatcong,7843,40.937206,-74.66147,(n/a),No,No,(973) 398-8803,
209,Franklin High School,Public,12-Sep,500 Elizabeth Avenue,Somerset,8873,40.505253,-74.50723,(n/a),No,No,(732) 302-4200,
210,Lower Cape May Regional High School,Public,12-Sep,687 Rt 9,Cape May,8204,38.963652,-74.92319,(n/a),No,Yes,(609) 884-3475,
211,Teaneck High School,Public,12-Sep,100 Elizabeth Ave,Teaneck,7666,40.890964,-74.01115,(n/a),No,No,(201) 833-5400,
212,John F. Kennedy Memorial High School,Public,12-Sep,200 Washington Avenue,Iselin,8830,40.571504,-74.3183,(n/a),No,No,(732) 602-8650,
213,Cedar Creek High School,Public,12-Sep,1701 New York Ave.,Egg Harbor City,8215,39.548049,-74.62171,(n/a),No,Yes,(609) 593-3560,
214,Washington Township High School,Public,12-Sep,519 Hurffville Crosskeys Rd,Sewell,8080,39.74953,-75.10637,(n/a),No,No,(856) 589-8500,
215,Mainland Regional High School,Public,12-Sep,1301 Oak Avenue,Linwood,8221,39.348616,-74.57387,(n/a),No,Yes,(609) 927-4151,
216,Hasbrouck Heights High School,Public,12-Sep,365 Boulevard,Hasbrouck Heights,7604,40.86289,-74.07506,(n/a),No,No,(201) 288-6150,
217,West Milford High School,Public,12-Sep,67 Highlander Drive,West Milford,7480,41.102569,-74.37047,(n/a),No,No,(973) 838-6515,
218,Memorial Senior High School,Public,12-Sep,375 River Dr,Elmwood Park,7407,40.905639,-74.1199,(n/a),No,No,(201) 796-8700,
219,Cranford High School,Public,12-Sep,201 West End Place,Cranford,7016,40.656302,-74.30371,(n/a),No,No,(908) 709-6272,
220,North Plainfield Middle School,Public,12-Sep,34 Wilson Avenue,North Plainfield,7060,40.620102,-74.42481,(n/a),No,No,(908) 769-6040,
221,William L Dickinson High School,Public,12-Sep,2 Palisade Ave,Jersey City,7306,40.695552,-74.22856,(n/a),No,Yes,(201) 714-4400,
222,Brick Township High School,Public,12-Sep,346 Chambers Bridge Rd,Brick,8723,40.042479,-74.123,(n/a),No,No,(732) 785-3000,
223,Warren Hills Regional High School,Public,12-Sep,41 Jackson Valley Road,Washington,7882,40.753753,-74.99617,(n/a),No,No,(908) 689-3050,
224,American History High School,Public,12-Jul,74 Montgomery St,Newark,7103,40.736101,-74.22509,(n/a),No,Yes,(973) 733-7333,
225,Shore Regional High School,Public,12-Sep,132 Monmouth Park Highway 36,West Long Branch,7764,40.289985,-74.01671,(n/a),No,Yes,(732) 222-9300,
226,Millville Senior High School,Public,12-Sep,200 Wade Blvd,Millville,8332,39.379382,-75.03923,(n/a),No,Yes,(856) 327-6040,
227,Burlington County Institute of Technology - Westampton,Public,12-Sep,695 Woodlane Road,Westampton,8060,39.991562,-74.79747,(n/a),No,Yes,(609) 267-4226,
228,Orange High School,Public,12-Sep,400 Lincoln Ave,Orange,7050,40.7683,-74.23603,(n/a),No,Yes,(973) 677-4050,
229,Gloucester City Junior Senior High School,Public,12-Jul,1300 Market Street,Gloucester City,8030,39.891113,-75.11836,(n/a),No,Yes,(856) 456-7000,
230,Jefferson Township High School,Public,12-Sep,1010 Weldon Rd Rd2,Oak Ridge,7438,41.029555,-74.5071,(n/a),No,No,(973) 697-3535,
231,School of Health Science,Public,12-Sep,5-7 Colt St,Paterson,7505,40.912198,-74.16863,(n/a),No,Yes,(973) 321-0560,
232,Monroe Township High School,Public,12-Sep,200 Schoolhouse Road,Monroe Township,8831,40.336508,-74.43302,(n/a),No,Yes,(732) 521-2882,
233,Woodbury Junior-Senior High School,Public,12-Jun,25 N. Broad Street,Woodbury,8096,39.830313,-75.13221,(n/a),No,Yes,(856) 853-0123,
234,Lodi High School,Public,12-Sep,99 Putnam Street,Lodi,7644,40.877999,-74.08265,(n/a),No,Yes,(973) 478-6100,
235,Glen Rock High School,Public,12-Sep,400 Hamilton Avenue,Glen Rock,7452,40.961109,-74.12576,(n/a),No,No,(201) 445-7700,
236,Burlington Township High School,Public,12-Sep,610 Fountain Avenue,Burlington,8016,40.06834,-74.84463,(n/a),No,Yes,(609) 387-1713,
237,Foundation Academy Charter School,"Public, Charter, Alternative",K-12,363 West State Street,Trenton,8608,40.280531,-74.712018,(n/a),No,Yes,(609) 920-9200,
238,Brick Township Memorial High School,Public,12-Sep,2001 Lanes Mill Rd,Brick,8724,40.042479,-74.123,(n/a),No,No,(732) 785-3000,
239,Warren County Vocational Technical School,Public,12-Sep,1500 Route 57,Washington,7882,40.753753,-74.99617,(n/a),No,Yes,(908) 689-0122,
240,Barnegat High School,Public,12-Sep,180 Bengal Blvd,Barnegat,8005,39.759581,-74.27398,(n/a),No,No,(609) 660-7510,
241,Boonton High School,Public,12-Sep,306 Lathrop Avenue,Boonton,7005,40.912798,-74.41516,(n/a),No,Yes,(973) 335-9700,
242,Clayton High School,Public,12-Sep,55 Pop Kramer Blvd,Clayton,8312,39.655964,-75.08736,(n/a),No,Yes,(856) 881-8701,
243,Arthur P. Schalick High School,Public,12-Sep,718 Centerton Road,Pittsgrove,8318,39.553504,-75.16843,(n/a),No,Yes,(856) 358-2054,
244,South Amboy Middle/High School,Public,12-Jun,200 Governor Harold G Hoffman,South Amboy,8879,40.469606,-74.27669,(n/a),No,Yes,(732) 316-7669,
245,Carteret High School,Public,12-Sep,199 Washington Avenue,Carteret,7008,40.582504,-74.22997,(n/a),No,No,(732) 541-8960,
246,Wall High School,Public,12-Sep,1630 18th Ave,Wall,7719,40.415902,-74.08689,(n/a),No,Yes,(732) 556-2040,
247,Rancocas Valley Regional High School,Public,12-Sep,520 Jacksonville Road,Mount Holly,8060,39.991562,-74.79747,(n/a),No,Yes,(609) 267-0830,
248,Essex County West Caldwell Technical,Public,12-Sep,620 Passaic Ave,West Caldwell,7006,40.848999,-74.27917,(n/a),No,Yes,(973) 412-2205,
249,Bordentown Regional High School,Public,12-Sep,318 Ward Ave,Bordentown,8505,40.132784,-74.71778,(n/a),No,No,(609) 298-0025,
250,Memorial High School,Public,12-Sep,5501 Park Ave,West New York,7093,40.7895,-74.01223,(n/a),No,Yes,(201) 553-4110,
251,Woodbridge High School,Public,12-Sep,25 Samuel Lupo Place,Woodbridge,7095,40.557104,-74.28316,(n/a),No,No,(732) 602-8600,
252,Lawrence High School,Public,12-Sep,2525 Princeton Pike,Lawrenceville,8648,40.003861,-74.61775,(n/a),No,No,(609) 671-5510,
253,Mount Olive High School,Public,12-Sep,18 Corey Road,Flanders,7836,40.84405,-74.70134,(n/a),No,No,(973) 927-2208,
254,Monmouth Regional High School,Public,12-Sep,One Norman J Field Way,Tinton Falls,7724,40.301979,-74.06889,(n/a),No,Yes,(732) 542-1170,
255,Hamilton West-Watson,Public,12-Sep,2720 South Clinton Avenue,Hamilton,8610,40.280531,-74.712018,(n/a),No,No,(609) 631-4168,
256,Lacey Township High School,Public,12-Sep,73 Haines Street,Lanoka Harbor,8734,39.862864,-74.16624,(n/a),No,No,(609) 971-2020,
257,Hackensack High School,Public,12-Sep,First & Beech Streets,Hackensack,7601,40.888678,-74.0488,(n/a),No,Yes,(201) 646-7900,
258,Ocean Township High School,Public,12-Sep,550 West Park Avenue,Oakhurst,7755,40.263575,-74.02176,(n/a),No,No,(732) 531-5650,
259,Glassboro High School,Public,12-Sep,560 Joseph L Bowe Blvd,Glassboro,8028,39.700008,-75.11951,(n/a),No,Yes,(856) 652-2700,
260,Arthur L. Johnson High School,Public,12-Sep,365 Westfield Avenue,Clark,7066,40.620336,-74.30934,(n/a),No,Yes,(732) 382-0910,
261,Northern Burlington County Regional High School,Public,12-Sep,160 Mansfield Road East,Columbus,8022,40.079952,-74.70684,(n/a),No,Yes,(609) 298-3900,
262,Camden County Technical School-GTC,Public,12-Sep,343 Berlin Cross Keys Road,Sicklerville,8081,39.741385,-74.99035,(n/a),No,Yes,(856) 767-7000,
263,Gloucester County Institute of Technology,Public,12-Sep,1360 Tanyard Road,Sewell,8080,39.74953,-75.10637,(n/a),No,Yes,(856) 468-1445,
264,Jackson Memorial High School,Public,12-Sep,101 Don Connor Boulevard,Jackson,8527,40.11597,-74.32251,(n/a),No,No,(732) 833-4670,
265,Rumson-Fair Haven Regional High School,Public,12-Sep,74 Ridge Road,Rumson,7760,40.369145,-73.99576,(n/a),No,Yes,(732) 842-1597,
266,Camden County Technical School-Pennsauken,Public,12-Sep,6008 Browning Road,Pennsauken,8109,39.949979,-75.05024,(n/a),No,Yes,(856) 663-1040,
267,Manville High School,Public,12-Sep,1100 Brooks Boulevard,Manville,8835,40.538903,-74.59222,(n/a),No,No,(908) 231-6806,
268,New Egypt High School,Public,12-Sep,117 Evergreen Road,New Egypt,8533,40.075185,-74.48433,(n/a),No,Yes,(609) 758-6800,
269,Sparta High School,Public,12-Sep,70 West Mountain Road,Sparta,7871,41.035384,-74.63557,(n/a),No,Yes,(973) 729-6191,
270,Howell High School,Public,12-Sep,405 Squankum Yellowbrook Road,Farmingdale,7727,40.205367,-74.15767,(n/a),No,No,(732) 919-2131,
271,Performing Arts Academy of the Ocean County Vocational Technical,Public,12-Sep,Route 547,Lakehurst,8733,40.017117,-74.30491,(n/a),No,No,(732) 286-5678,
272,Whippany Park High School,Public,12-Sep,165 Whippany Road,Whippany,7981,40.821482,-74.42648,(n/a),No,Yes,(973) 887-3004,
273,Lenape Valley Regional High School,Public,12-Sep,28 Sparta Road,Stanhope,7874,40.917054,-74.71053,(n/a),No,Yes,(973) 347-7600,
274,Colonia High School,Public,12-Sep,East Street,Colonia,7067,40.591653,-74.31341,(n/a),No,No,(732) 726-7060,
275,Union High School,Public,12-Sep,2350 North Third Street,Union,7083,40.695401,-74.26933,(n/a),No,Yes,(908) 851-6500,
276,Wildwood High School,Public,12-Sep,4300 Pacific Ave,Wildwood,8260,38.987556,-74.822,(n/a),No,Yes,(609) 522-7922,
277,Atlantic City High School,Public,12-Sep,1400 N Albany Avenue,Atlantic City,8401,39.364966,-74.43903,(n/a),No,Yes,(609) 343-7300,
278,Jackson Liberty High School,Public,12-Sep,125 North Hope Chapel Road,Jackson,8527,40.11597,-74.32251,(n/a),No,No,(732) 833-4700,
279,Cape May County Technical High SChool,Public,12-Sep,188 Crest Haven Rd,Cape May Court House,8210,39.081754,-74.83658,(n/a),No,Yes,(609) 380-0200,
280,Cherry Hill High School West,Public,12-Sep,2101 Chapel Ave.,Cherry Hill,8034,39.895213,-75.04019,(n/a),No,Yes,(856) 663-8006,
281,Hoboken Charter School,"Public, Charter, Alternative",K-12,713 Washington St,Hoboken,7030,40.744851,-74.03294,(n/a),No,Yes,(201) 963-0222,
282,Middlesex County Vocational School Perth Amboy,Public,12-Sep,457 High Street,Perth Amboy,8861,40.520105,-74.27708,(n/a),No,Yes,(732) 376-6300,
283,Deptford Township High School,Public,12-Sep,575 S Fox Run Rd,Deptford,8096,39.830313,-75.13221,(n/a),No,Yes,(856) 232-2713,
284,Delran High School,Public,12-Sep,50 Hartford Road,Delran,8075,40.029361,-74.9541,(n/a),No,No,(856) 461-6100,
285,Creative Arts Morgan Village Academy,Public,12-Jun,990 Morgan Boulevard,Camden,8104,39.918663,-75.10976,(n/a),No,Yes,(856) 966-6267,
286,Pennsauken High School,Public,12-Sep,800 Hylton Road,Pennsauken,8110,39.966812,-75.05681,(n/a),No,Yes,(856) 662-8500,
287,South Plainfield High School,Public,12-Sep,200 Lake Street,South Plainfield,7080,40.580703,-74.41401,(n/a),No,No,(908) 754-4620,
288,Central Regional High School,Public,12-Sep,509 Forest Hills Parkway,Bayville,8721,39.902851,-74.16037,(n/a),No,Yes,(732) 269-1100,
289,Chartertech High School for the Performing Arts,"Public, Charter",12-Sep,413 New Road,Somers Point,8244,39.319901,-74.5999,(n/a),No,Yes,(609) 926-7694,
290,Salem High School,Public,12-Sep,219 Walnut St,Salem,8079,39.549912,-75.43943,(n/a),No,Yes,(856) 935-3900,
291,Roselle Park High School,Public,12-Sep,185 W Webster Ave,Roselle Park,7204,40.665552,-74.26768,(n/a),No,Yes,(908) 241-4550,
292,Toms River High School South,Public,12-Sep,55 Hyers Street,Toms River,8753,39.974584,-74.15141,(n/a),No,No,(732) 505-5738,
293,Union County TEAMS Charter School,"Public, Charter, Alternative",K-12,515 517 West Fourth Street,Plainfield,7060,40.620102,-74.42481,(n/a),No,Yes,(908) 754-9043,
294,Hillside High School,Public,12-Sep,1085 Liberty Ave,Hillside,7205,40.695552,-74.22856,(n/a),No,Yes,(908) 352-7664,
295,Clifton High School,Public,12-Sep,333 Colfax Avenue,Clifton,7013,40.879699,-74.14263,(n/a),No,No,(973) 470-2312,
296,Memorial High School,Public,12-Sep,504 East Broad Street,Millville,8332,39.379382,-75.03923,(n/a),No,Yes,(856) 327-6072,
297,Belvidere High School,Public,12-Sep,809 Oxford Street,Belvidere,7823,40.82383,-75.04585,(n/a),No,Yes,(908) 475-4025,
298,New Brunswick High School,Public,12-Sep,1000 Somerset St,New Brunswick,8901,40.488304,-74.44775,(n/a),No,Yes,(732) 745-5300,
299,Ewing High School,Public,12-Sep,900 Parkway Ave,Ewing,8618,40.280531,-74.712018,(n/a),No,Yes,(609) 538-9800,
300,Academy for Urban Leadership Charter School,"Public, Charter",12-Jul,612 Amboy Ave,Perth Amboy,8861,40.520105,-74.27708,(n/a),No,Yes,(848) 203-3742,
301,Pennsville Memorial High School,Public,12-Sep,110 S Broadway,Pennsville,8070,39.645377,-75.51923,(n/a),No,No,(856) 540-6200,
302,David Brearley Middle/High School,Public,12-Jul,401 Monroe Avenue,Kenilworth,7033,40.674652,-74.2908,(n/a),No,No,(908) 931-9696,
303,Passaic Valley Regional High School,Public,12-Sep,170 East Main Street,Little Falls,7424,40.886628,-74.21405,(n/a),No,Yes,(973) 890-2500,
304,Ocean City High School,Public,12-Sep,501 Atlantic Avenue,Ocean City,8226,39.265371,-74.59381,(n/a),No,No,(609) 399-1290,
305,Haddon Heights Junior/Senior High School,Public,12-Jul,301 Second Avenue,Haddon Heights,8035,39.87913,-75.06599,(n/a),No,Yes,(856) 547-1920,
306,TEAM Academy Charter School,"Public, Charter, Alternative",K-12,60 Park Place,Newark,7102,40.736101,-74.22509,(n/a),No,Yes,(973) 622-0905,
307,Burlington County Institute of Technology - Medford,Public,12-Sep,10 Hawkin Road,Medford,8055,39.865272,-74.8185,(n/a),No,Yes,(609) 654-0200,
308,The Barack Obama Green Charter High School,"Public, Charter",12-Sep,35 Watchung ave,Plainfield,7060,40.620102,-74.42481,(n/a),No,Yes,(877) 643-4064,
309,Dunellen High School,Public,12-Sep,411 First Street,Dunellen,8812,40.594502,-74.47166,(n/a),No,Yes,(732) 968-0885,
310,Pinelands Regional High School,Public,12-Oct,565 Nugentown Road,Little Egg Harbor,8087,39.59899,-74.36573,(n/a),No,No,(609) 296-3106,
311,Cliffside Park High School,Public,12-Sep,64 Riverview Avenue,Cliffside Park,7010,40.82154,-73.98949,(n/a),No,No,(201) 313-2370,
312,Palmyra High School,Public,12-Jul,5th & Weart Boulevard,Palmyra,8065,40.00278,-75.02626,(n/a),No,Yes,(856) 786-9400,
313,Bridgeton High School,Public,12-Sep,111 N West Avenue,Bridgeton,8302,39.445164,-75.24215,(n/a),No,Yes,(856) 455-8030,
314,Pitman High School,Public,12-Sep,225 Linden Avenue,Pitman,8071,39.730964,-75.13009,(n/a),No,No,(856) 589-2121,
315,Raritan High School,Public,12-Sep,419 Middle Road,Hazlet,7730,40.423298,-74.179,(n/a),No,No,(732) 264-8411,
316,M.E.T.S. Charter School,"Public, Charter",12-Jun,211 Sherman Ave,Jersey City,7307,40.695552,-74.22856,(n/a),No,Yes,(201) 526-8500,
317,Kearny High School,Public,12-Sep,336 Devon St,Kearny,7032,40.763051,-74.13718,(n/a),No,No,(201) 955-5050,
318,Thomas Jefferson Arts Academy,Public,12-Sep,27 Martin Luther King Jr Plaza,Elizabeth,7201,40.669502,-74.19889,(n/a),No,Yes,(908) 436-6767,
319,Sterling High School,Public,12-Sep,501 South Warwick Road,Somerdale,8083,39.842613,-75.02496,(n/a),No,Yes,(856) 784-1333,
320,Manchester Township High School,Public,12-Sep,101 S Colonial Dr,Manchester,8759,39.943541,-74.36949,(n/a),No,No,(732) 657-2121,
321,Bloomfield High School,Public,12-Sep,160 Broad Street,Bloomfield,7003,40.803,-74.18895,(n/a),No,Yes,(973) 680-8500,
322,Middle Township High School,Public,12-Sep,300 East Atlantic Avenue,Cape May Court House,8210,39.081754,-74.83658,(n/a),No,Yes,(609) 465-1852,
323,University Academy Charter High School,"Public, Charter",12-Sep,275 West Side Avenue,Jersey City,7305,40.695552,-74.22856,(n/a),No,Yes,(201) 200-3200,
324,Middlesex County Vocational School East Brunswick,Public,12-Sep,112 Rues Lane,East Brunswick,8816,40.434239,-74.40504,(n/a),No,No,(732) 254-8700,
325,Willliamstown High School,Public,12-Sep,700 N Tuckahoe Rd,Williamstown,8094,39.647598,-74.95927,(n/a),No,No,(856) 262-8200,
326,Newark Early College High School,Public,12-Jul,403 South Orange Avenue,Newark,7103,40.736101,-74.22509,(n/a),No,Yes,(973) 733-8301,
327,Neptune High School,Public,12-Sep,55 Neptune Boulevard,Neptune,7753,40.208945,-74.05261,(n/a),No,No,(732) 776-2200,
328,Long Branch High School,Public,12-Sep,404 Indiana Avenue,Long Branch,7740,40.297932,-73.99097,(n/a),No,Yes,(732) 229-7300,
329,Somerville High School,Public,12-Sep,222 Davenport St.,Somerville,8876,40.545853,-74.63592,(n/a),No,No,(908) 218-4108,
330,Leap Academy University Charter School,"Public, Charter, Alternative",K-12,130 North Broadway,Camden,8102,39.80237,-74.938259,(n/a),No,Yes,(856) 614-0400,
331,Lindenwold High School,Public,12-Sep,801 Egg Harbor Road,Lindenwold,8021,39.810485,-74.99574,(n/a),No,Yes,(856) 741-0320,
332,Oakcrest High School,Public,12-Sep,1824 Dr Dennis Foreman Drive,Mays Landing,8330,39.478771,-74.7581,(n/a),No,Yes,(609) 909-2600,
333,Passaic High School No. 12,Public,12-Sep,170 Paulison Ave.,Passaic,7055,40.857384,-74.12899,(n/a),No,Yes,(973) 470-5600,
334,Lakewood High School,Public,12-Sep,855 Somerset Avenue,Lakewood,8701,40.082782,-74.2094,(n/a),No,Yes,(732) 905-3500,
335,Paterson Charter School for Science/Technology,"Public, Charter, Alternative",K-12,196 West Railway Avenue,Paterson,7503,40.912198,-74.16863,(n/a),No,Yes,(973) 247-0600,
336,Saddle Brook Middle/High School,Public,12-Jul,355 Mayhill Street,Saddle Brook,7663,40.904131,-74.09474,(n/a),No,Yes,(201) 843-2880,
337,Rosa L. Parks School of Fine and Performing Arts,Public,12-Sep,413 12th Avenue,Paterson,7514,41.011428,-74.304793,(n/a),No,Yes,(973) 321-0520,
338,Overbrook Senior High School,Public,12-Sep,1200 Turnersville Road,Pine Hill,8021,39.810485,-74.99574,(n/a),No,Yes,(856) 767-8000,
339,School Of Science Technology Engineering And Mathematics,Public,12-Sep,61-127 Preakness Avenue,Paterson,7502,40.912198,-74.16863,(n/a),No,Yes,(973) 321-0500,
340,Linden High School,Public,12-Sep,121 W St George Ave,Linden,7036,40.633953,-74.25339,(n/a),No,No,(908) 486-5432,
341,Gateway Regional High School,Public,12-Jul,775 Tanyard Rd,Woodbury Hts,8096,39.830313,-75.13221,(n/a),No,Yes,(856) 848-8200,
342,Peoples Preparatory Charter School,"Public, Charter",12-Sep,321 Bergen Street,Newark,7103,40.736101,-74.22509,(n/a),No,Yes,(973) 622-1790,
343,Pemberton Township High School,Public,12-Sep,148 Arneys Mount Road,Pemberton,8068,39.961183,-74.66266,(n/a),No,No,(609) 893-8141,
344,Penns Grove High School,Public,12-Sep,334 Harding Highway,Carneys Point,8069,39.712593,-75.46906,(n/a),No,Yes,(856) 299-6300,
345,Triton Regional High School,Public,12-Sep,250 Schubert Ave,Runnemede,8078,39.850013,-75.0767,(n/a),No,Yes,(856) 939-4500,
346,Passaic County-Manchester Regional High School,Public,12-Sep,70 Church Street,Haledon,7508,40.945198,-74.18286,(n/a),No,Yes,(973) 389-2821,
347,Buena Regional High School,Public,12-Sep,125 Weymouth Road,Buena,8310,39.522686,-74.89684,(n/a),No,No,(856) 697-2400,
348,Riverside High School,Public,12-Sep,112 E Washington Street,Riverside,8075,40.029361,-74.9541,(n/a),No,No,(856) 461-1255,
349,Hoboken High School,Public,12-Sep,Ninth & Clinton Sts,Hoboken,7030,40.744851,-74.03294,(n/a),No,Yes,(201) 356-3701,
350,Pleasantville High School,Public,12-Sep,701 Mill Road,Pleasantville,8232,39.394616,-74.52212,(n/a),No,Yes,(609) 383-6900,
351,Plainfield Academy For The Arts & Advanced Studies,Public,12-Jul,1700 West Front St,Plainfield,7063,40.620102,-74.42481,(n/a),No,No,(908) 731-4421,
352,Paulsboro High School,Public,12-Sep,670 N Delaware St,Paulsboro,8066,39.833156,-75.23773,(n/a),No,Yes,(856) 423-2222,
353,Bound Brook High School,Public,12-Sep,111 West Union Avenue,Bound Brook,8805,40.567953,-74.54034,(n/a),No,No,(732) 652-7950,
354,East Side High School,Public,12-Sep,238 Van Buren St,Newark,7105,40.736101,-74.22509,(n/a),No,Yes,(973) 465-4900,
355,Highland Regional High School,Public,12-Sep,450 Erial Road,Blackwood,8012,39.784614,-75.05678,(n/a),No,Yes,(609) 227-4100,
356,Trenton Central High School - Main Campus,Public,12-Oct,171 Division Street,Trenton,8611,40.280531,-74.712018,(n/a),No,Yes,(609) 278-7260,
357,Keansburg High School,Public,12-Sep,140 Port Monmouth Road,Keansburg,7734,40.444407,-74.13298,(n/a),No,No,(732) 787-2007,
358,Henry Snyder High School,Public,12-Sep,239 Bergen Ave,Jersey City,7305,40.695552,-74.22856,(n/a),No,Yes,(201) 915-6600,
359,Irvington High School,Public,12-Sep,1253 Clinton Ave,Irvington,7111,40.725651,-74.23207,(n/a),No,Yes,(973) 399-6897,
360,Perth Amboy High School,Public,12-Sep,300 Eagle Ave,Perth Amboy,8861,40.520105,-74.27708,(n/a),No,Yes,(732) 376-6030,
361,Harrison High School,Public,12-Sep,401 Kingsland Avenue,Harrison,7029,40.745951,-74.15509,(n/a),No,Yes,(973) 482-5050,
362,Lincoln High School,Public,12-Sep,60 Crescent Ave,Jersey City,7304,40.695552,-74.22856,(n/a),No,Yes,(201) 915-6700,
363,Timber Creek Regional High School,Public,12-Sep,501 Jarvis Road,Erial,8081,39.741385,-74.99035,(n/a),No,No,(856) 232-9703,
364,School of Business Technology Marketing and Finance,Public,12-Sep,61-127 Preakness Avenue,Paterson,7502,40.912198,-74.16863,(n/a),No,Yes,(973) 321-0500,
365,Middlesex County Vocational School Piscataway,Public,12-Sep,21 Suttons Lane,Piscataway,8854,40.555355,-74.46094,(n/a),No,Yes,(732) 985-0717,
366,Paulo Freire Charter School,"Public, Charter",12-Sep,28 Burnet Street,Newark,7102,40.736101,-74.22509,(n/a),No,No,(973) 733-9393,
367,North Bergen High School,Public,12-Sep,7417 Kennedy Blvd,North Bergen,7047,40.7946,-74.01963,(n/a),No,No,(201) 295-2800,
368,Rahway High School,Public,12-Sep,1012 Madison Ave,Rahway,7065,40.607103,-74.28099,(n/a),No,No,(732) 396-1090,
369,Willingboro High School,Public,12-Sep,20 Jfk Way,Willingboro,8046,40.029011,-74.88257,(n/a),No,Yes,(609) 835-8800,
370,School Of Information Technology,Public,12-Sep,150 Park Avenue,Paterson,7501,40.912198,-74.16863,(n/a),No,Yes,(973) 321-2490,
371,Belleville High School,Public,12-Sep,100 Passaic Ave,Belleville,7109,40.7935,-74.16144,(n/a),No,Yes,(973) 532-5012,
372,James J Ferris High School,Public,12-Sep,35 Colgate St,Jersey City,7302,40.695552,-74.22856,(n/a),No,Yes,(201) 915-6660,
373,School of Government and Public Administration,Public,12-Sep,150 Park Avenue,Paterson,7501,40.912198,-74.16863,(n/a),No,Yes,(973) 321-2488,
374,School Of Culinary Arts Hospitality And Tourism,Public,12-Sep,150 Park Avenue,Paterson,7501,40.912198,-74.16863,(n/a),No,Yes,(973) 321-2489,
375,Asbury Park High School,Public,12-Sep,1001 Sunset Avenue,Asbury Park,7712,40.232713,-74.03143,(n/a),No,Yes,(732) 776-2638,
376,International High School,Public,12-Sep,200 Grand Street,Paterson,7501,40.912198,-74.16863,(n/a),No,Yes,(973) 321-2280,
377,Marion P. Thomas Charter School,"Public, Charter, Alternative","PK, KG-12",88-108 Shipman Street,Newark,7102,40.736101,-74.22509,(n/a),No,Yes,(973) 621-0060,
378,Keyport High School,Public,12-Sep,351 Broad Street,Keyport,7735,40.439714,-74.19374,(n/a),No,Yes,(732) 212-6100,
379,Plainfield High School,Public,12-Sep,950 Park Avenue,Plainfield,7060,40.620102,-74.42481,(n/a),No,Yes,(908) 731-4390,
380,Malcolm X Shabazz High School,Public,12-Sep,80 Johnson Ave,Newark,7108,40.736101,-74.22509,(n/a),No,Yes,(973) 733-6974,
381,School Of Earth And Space Science,Public,12-Sep,201 Memorial Drive,Paterson,7505,40.912198,-74.16863,(n/a),No,Yes,(973) 321-2290,
382,Newark Vocational High School,Public,12-Sep,403 South Orange Avenue,Newark,7103,40.736101,-74.22509,(n/a),No,Yes,(973) 733-7019,
383,School Of Architecture And Construction Trades,Public,12-Sep,61-127 Preakness Avenue,Paterson,7502,40.912198,-74.16863,(n/a),No,Yes,(973) 321-0500,
384,School Of Education And Training,Public,12-Sep,61-127 Preakness Avenue,Paterson,7502,40.912198,-74.16863,(n/a),No,Yes,(973) 321-0500,
