,City,Lat,Lon,# of Sales,Avg Sale Price
1426,MOUNT ARLINGTON BORO,40.389428,-74.54329,102,"$330,704 "
1427,MOUNT OLIVE TWP,40.389428,-74.54329,261,"$363,541 "
1428,NETCONG BORO,40.51057,-74.72472,23,"$272,736 "
1429,PARSIPPANY TR HLS TWP,40.461851,-74.30343,427,"$415,565 "
1430,LONG HILL TWP,40.876349,-74.65769,32,"$509,384 "
1431,PEQUANNOCK TWP,40.461851,-74.30343,127,"$446,693 "
1432,RANDOLPH TWP,40.565493,-74.938931,281,"$542,252 "
1433,RIVERDALE BORO,40.563654,-74.949409,39,"$338,573 "
1434,ROCKAWAY BORO,40.563654,-74.949409,43,"$299,300 "
1435,ROCKAWAY TWP,40.563654,-74.949409,111,"$391,941 "
1436,ROXBURY TWP,40.563654,-74.949409,105,"$367,457 "
1437,VICTORY GARDENS BORO,40.500254,-74.4257,7,"$222,929 "
1438,WASHINGTON TWP,40.500254,-74.4257,186,"$446,905 "
1439,WHARTON BORO,40.500254,-74.4257,19,"$310,593 "
1501,BARNEGAT TWP,40.578996,-74.27987,376,"$251,086 "
1502,BARNEGAT LIGHT BORO,40.578996,-74.27987,30,"$720,124 "
1503,BAY HEAD BORO,40.578996,-74.27987,26,"$1,424,699 "
1504,BEACH HAVEN BORO,40.666552,-74.11768,93,"$876,789 "
1505,BEACHWOOD BORO,40.666552,-74.11768,124,"$238,010 "
1506,BERKELEY TWP,40.666552,-74.11768,875,"$223,484 "
1507,BRICK TWP,40.912798,-74.41516,"1,215","$337,449 "
1508,TOMS RIVER TWP,40.500254,-74.4257,"1,667","$368,502 "
1509,EAGLESWOOD TWP,40.656302,-74.30371,17,"$282,588 "
1510,HARVEY CEDARS BORO,40.745951,-74.15509,25,"$1,216,420 "
1511,ISLAND HEIGHTS BORO,40.744851,-74.03294,14,"$405,571 "
1512,JACKSON TWP,40.744851,-74.03294,894,"$372,747 "
1513,LACEY TWP,40.744851,-74.03294,461,"$282,012 "
1514,LAKEHURST BORO,40.744851,-74.03294,10,"$191,260 "
1515,LAKEWOOD TWP,40.744851,-74.03294,721,"$309,390 "
1516,LAVALLETTE BORO,40.744851,-74.03294,79,"$840,241 "
1517,LITTLE EGG HARBOR TWP,41.007389,-74.04247,404,"$210,494 "
1518,LONG BEACH TWP,40.877999,-74.08265,279,"$1,098,140 "
1519,MANCHESTER TWP,40.788599,-74.78295,546,"$194,055 "
1520,MANTOLOKING BORO,40.502477,-74.650023,13,"$3,414,243 "
1521,OCEAN TWP,40.51057,-74.72472,157,"$320,414 "
1522,OCEAN GATE BORO,40.51057,-74.72472,33,"$237,991 "
1523,PINE BEACH BORO,40.689123,-75.17243,19,"$443,126 "
1524,PLUMSTED TWP,40.583035,-74.96224,82,"$335,675 "
1525,POINT PLEASANT BORO,40.583035,-74.96224,301,"$446,100 "
1526,PT PLEASANT BEACH BORO,40.583035,-74.96224,81,"$644,565 "
1527,SEASIDE HEIGHTS BORO,40.430006,-74.417344,76,"$244,799 "
1528,SEASIDE PARK BORO,40.430006,-74.417344,56,"$551,047 "
1529,SHIP BOTTOM BORO,40.430006,-74.417344,75,"$711,430 "
1530,SOUTH TOMS RIVER BORO,40.445006,-74.38179,19,"$177,942 "
1531,STAFFORD TWP,40.39159,-74.39329,452,"$318,243 "
1532,SURF CITY BORO,40.500254,-74.4257,38,"$826,092 "
1533,TUCKERTON BORO,40.500254,-74.4257,16,"$202,525 "
1601,BLOOMINGDALE BORO,40.803,-74.18895,95,"$308,197 "
1602,CLIFTON CITY,40.879699,-74.14263,702,"$364,039 "
1603,HALEDON BORO,40.80495,-74.2047,70,"$306,474 "
1604,HAWTHORNE BORO,40.745951,-74.15509,196,"$386,657 "
1605,LITTLE FALLS TWP,41.007389,-74.04247,75,"$389,289 "
1606,NORTH HALEDON BORO,40.51057,-74.72472,74,"$452,462 "
1607,PASSAIC CITY,40.461851,-74.30343,220,"$330,690 "
1608,PATERSON CITY,40.461851,-74.30343,313,"$266,613 "
1609,POMPTON LAKES BORO,40.583035,-74.96224,165,"$311,675 "
1610,PROSPECT PARK BORO,40.583035,-74.96224,40,"$303,348 "
1611,RINGWOOD BORO,40.563654,-74.949409,167,"$369,379 "
1612,TOTOWA BORO,40.500254,-74.4257,96,"$394,897 "
1613,WANAQUE BORO,40.500254,-74.4257,148,"$313,812 "
1614,WAYNE TWP,40.500254,-74.4257,557,"$454,742 "
1615,WEST MILFORD TWP,40.500254,-74.4257,347,"$285,433 "
1616,WOODLAND PARK BORO,40.500254,-74.4257,110,"$412,489 "
1701,ALLOWAY TOWNSHIP,39.5557,-75.3179,21,"$224,286 "
1702,CARNEYS POINT TOWNSHIP,40.848999,-74.27917,39,"$134,232 "
1703,ELMER BORO,40.830733,-73.97334,9,"$185,333 "
1704,ELSINBORO TWP,40.830733,-73.97334,7,"$183,143 "
1705,LOWER ALLOWAY CREEK TWP,40.788599,-74.78295,6,"$155,417 "
1706,MANNINGTON TWP,40.788599,-74.78295,10,"$206,850 "
1707,OLDMANS TWP,40.51057,-74.72472,15,"$258,587 "
1708,PENNS GROVE BORO,40.461851,-74.30343,13,"$85,065 "
1709,PENNSVILLE TWP,40.461851,-74.30343,119,"$143,304 "
1710,PILESGROVE TWP,40.689123,-75.17243,42,"$301,927 "
1711,PITTSGROVE TWP,40.689123,-75.17243,55,"$245,532 "
1712,QUINTON TWP,40.565493,-74.938931,16,"$180,282 "
1713,SALEM CITY,40.563654,-74.949409,19,"$55,829 "
1714,UPPER PITTSGROVE TWP,40.500254,-74.4257,23,"$222,111 "
1715,WOODSTOWN BORO,40.500254,-74.4257,42,"$184,117 "
1801,BEDMINSTER TWP,40.666552,-74.11768,82,"$373,463 "
1802,BERNARDS TWP,40.666552,-74.11768,149,"$606,277 "
1803,BERNARDSVILLE BORO,40.666552,-74.11768,38,"$629,324 "
1804,BOUND BROOK BORO,40.912798,-74.41516,35,"$301,022 "
1805,BRANCHBURG TWP,40.912798,-74.41516,66,"$443,455 "
1806,BRIDGEWATER TWP,40.912798,-74.41516,173,"$463,664 "
1807,FAR HILLS BORO,40.641852,-74.38533,7,"$740,571 "
1808,FRANKLIN TWP,40.849879,-73.97501,289,"$339,188 "
1809,GREEN BROOK TWP,40.80495,-74.2047,30,"$542,781 "
1810,HILLSBOROUGH TWP,40.745951,-74.15509,193,"$404,040 "
1811,MANVILLE BORO,40.502477,-74.650023,46,"$248,270 "
1812,MILLSTONE BORO,40.587606,-75.10402,1,"$475,000 "
1813,MONTGOMERY TWP,40.389428,-74.54329,275,"$662,459 "
1814,NORTH PLAINFIELD BORO,40.51057,-74.72472,209,"$272,361 "
1815,PEAPACK GLADSTONE BORO,40.461851,-74.30343,13,"$666,700 "
1816,RARITAN BORO,40.571302,-74.6374,50,"$368,245 "
1817,ROCKY HILL BOR,40.563654,-74.949409,0,$0 
1818,SOMERVILLE BORO,40.545853,-74.63592,76,"$325,679 "
1819,SO BOUND BROOK BORO,40.430006,-74.417344,38,"$267,703 "
1820,WARREN TWP,40.500254,-74.4257,55,"$702,966 "
1821,WATCHUNG BORO,40.500254,-74.4257,22,"$821,409 "
1901,ANDOVER BORO,40.9859,-74.7421,1,"$240,000 "
1902,ANDOVER TWP,41.0155,-74.7296,62,"$279,432 "
1903,BRANCHVILLE BORO,40.912798,-74.41516,4,"$203,750 "
1904,BYRAM TWP,40.912798,-74.41516,102,"$304,163 "
1905,FRANKFORD TWP,40.849879,-73.97501,36,"$368,875 "
1906,FRANKLIN BORO,40.849879,-73.97501,41,"$211,580 "
1907,FREDON TWP,40.849879,-73.97501,29,"$332,343 "
1908,GREEN TWP,40.80495,-74.2047,30,"$356,147 "
1909,HAMBURG BORO,40.80495,-74.2047,49,"$173,657 "
1910,HAMPTON TWP,40.80495,-74.2047,46,"$276,233 "
1911,HARDYSTON TWP,40.80495,-74.2047,152,"$271,297 "
1912,HOPATCONG BORO,40.744851,-74.03294,225,"$258,178 "
1913,LAFAYETTE TWP,40.744851,-74.03294,23,"$356,054 "
1914,MONTAGUE TWP,40.389428,-74.54329,49,"$159,441 "
1915,NEWTON TOWN,40.51057,-74.72472,62,"$209,431 "
1916,OGDENSBURG BORO,40.51057,-74.72472,33,"$225,530 "
1917,SANDYSTON TWP,40.563654,-74.949409,21,"$245,942 "
1918,SPARTA TWP,40.445006,-74.38179,309,"$431,733 "
1919,STANHOPE BORO,40.39159,-74.39329,37,"$213,884 "
1920,STILLWATER TWP,40.500254,-74.4257,43,"$224,334 "
1921,SUSSEX BORO,40.500254,-74.4257,18,"$177,483 "
1922,VERNON TWP,40.500254,-74.4257,376,"$195,247 "
1923,WALPACK TWP,40.500254,-74.4257,0,$0 
1924,WANTAGE TWP,40.500254,-74.4257,83,"$255,628 "
2001,BERKELEY HEIGHTS TWP,40.666552,-74.11768,136,"$576,517 "
2002,CLARK TWP,40.855854,-74.22898,164,"$467,280 "
2003,CRANFORD TWP,40.656302,-74.30371,244,"$487,662 "
2004,ELIZABETH CITY,40.830733,-73.97334,618,"$304,028 "
2005,FANWOOD BORO,40.641852,-74.38533,93,"$466,717 "
2006,GARWOOD BORO,40.650802,-74.32351,43,"$402,722 "
2007,HILLSIDE TWP,40.745951,-74.15509,172,"$275,944 "
2008,KENILWORTH BORO,40.744851,-74.03294,79,"$371,729 "
2009,LINDEN CITY,41.007389,-74.04247,346,"$299,182 "
2010,MOUNTAINSIDE BORO,40.389428,-74.54329,72,"$651,599 "
2011,NEW PROVIDENCE BORO,40.51057,-74.72472,103,"$602,995 "
2012,PLAINFIELD CITY,40.583035,-74.96224,235,"$269,131 "
2013,RAHWAY CITY,40.565493,-74.938931,178,"$268,529 "
2014,ROSELLE BORO,40.563654,-74.949409,172,"$237,872 "
2015,ROSELLE PARK BORO,40.563654,-74.949409,147,"$303,671 "
2016,SCOTCH PLAINS TWP,40.430006,-74.417344,316,"$543,193 "
2017,SPRINGFIELD TWP,40.39159,-74.39329,179,"$421,541 "
2018,SUMMIT CITY,40.500254,-74.4257,179,"$1,155,902 "
2019,UNION TWP,40.500254,-74.4257,441,"$331,230 "
2020,WESTFIELD TOWN,40.500254,-74.4257,155,"$814,801 "
2021,WINFIELD TWP,40.500254,-74.4257,0,$0 
2101,ALLAMUCHY TWP,40.9218,-74.8102,107,"$277,095 "
2102,ALPHA BORO,40.6644,-75.1548,28,"$189,612 "
2103,BELVIDERE TOWN,40.666552,-74.11768,28,"$203,160 "
2104,BLAIRSTOWN TWP,40.666552,-74.11768,44,"$314,994 "
2105,FRANKLIN TWP,40.849879,-73.97501,22,"$369,636 "
2106,FRELINGHUYSEN TWP,40.849879,-73.97501,9,"$342,067 "
2107,GREENWICH TWP,40.80495,-74.2047,62,"$348,182 "
2108,HACKETTSTOWN TOWN,40.80495,-74.2047,86,"$295,403 "
2109,HARDWICK TWP,40.80495,-74.2047,11,"$291,520 "
2110,HARMONY TWP,40.80495,-74.2047,14,"$270,807 "
2111,HOPE TWP,40.744851,-74.03294,10,"$258,748 "
2112,INDEPENDENCE TWP,40.744851,-74.03294,58,"$251,441 "
2113,KNOWLTON TWP,40.744851,-74.03294,21,"$273,567 "
2114,LIBERTY TWP,41.007389,-74.04247,17,"$282,206 "
2115,LOPATCONG TWP,40.788599,-74.78295,96,"$234,561 "
2116,MANSFIELD TWP,40.788599,-74.78295,40,"$300,760 "
2117,OXFORD TWP,40.681694,-74.73624,16,"$207,386 "
2119,PHILLIPSBURG TOWN,40.689123,-75.17243,91,"$120,984 "
2120,POHATCONG TWP,40.583035,-74.96224,28,"$178,280 "
2121,WASHINGTON BORO,40.500254,-74.4257,54,"$203,547 "
2122,WASHINGTON TWP,40.500254,-74.4257,67,"$287,671 "
2123,WHITE TWP,40.500254,-74.4257,52,"$283,394 "
